time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-25 00:00:00+00:00,12918,240,438,112
2021-06-26 00:00:00+00:00,29041,296,284,102
2021-06-27 00:00:00+00:00,29018,253,383,88
2021-06-28 00:00:00+00:00,29692,363,1245,292
2021-06-29 00:00:00+00:00,29615,322,1198,284
2021-06-30 00:00:00+00:00,29795,338,1423,357
2021-07-01 00:00:00+00:00,28522,302,1448,333
2021-07-02 00:00:00+00:00,28618,320,1243,310
2021-07-03 00:00:00+00:00,28572,247,346,101
2021-07-04 00:00:00+00:00,28633,214,468,125
2021-07-05 00:00:00+00:00,29130,265,1197,268
2021-07-06 00:00:00+00:00,28971,309,1565,326
2021-07-07 00:00:00+00:00,28779,317,1432,333
2021-07-08 00:00:00+00:00,30745,286,1355,342
2021-07-09 00:00:00+00:00,31379,282,1300,297
2021-07-10 00:00:00+00:00,29678,267,378,117
2021-07-11 00:00:00+00:00,29781,258,506,107
2021-07-12 00:00:00+00:00,30460,298,1222,279
2021-07-13 00:00:00+00:00,30497,306,1079,313
2021-07-14 00:00:00+00:00,30428,295,1157,259
2021-07-15 00:00:00+00:00,30405,308,1383,340
2021-07-16 00:00:00+00:00,30419,320,1194,288
2021-07-17 00:00:00+00:00,29737,287,579,116
2021-07-18 00:00:00+00:00,29392,264,333,91
2021-07-19 00:00:00+00:00,30754,306,1133,289
2021-07-20 00:00:00+00:00,31425,262,1176,296
2021-07-21 00:00:00+00:00,32242,254,1003,291
2021-07-22 00:00:00+00:00,30950,286,1213,327
2021-07-23 00:00:00+00:00,32982,278,969,265
2021-07-24 00:00:00+00:00,31349,240,372,94
2021-07-25 00:00:00+00:00,31409,243,379,106
2021-07-26 00:00:00+00:00,32763,289,1119,291
2021-07-27 00:00:00+00:00,33650,315,944,303
2021-07-28 00:00:00+00:00,34077,309,1260,306
2021-07-29 00:00:00+00:00,34071,297,1086,329
2021-07-30 00:00:00+00:00,33629,298,1012,242
2021-07-31 00:00:00+00:00,32637,292,304,104
2021-08-01 00:00:00+00:00,32418,270,414,98
2021-08-02 00:00:00+00:00,32854,287,941,292
2021-08-03 00:00:00+00:00,33939,290,1247,302
2021-08-04 00:00:00+00:00,33382,283,1553,368
2021-08-05 00:00:00+00:00,33312,274,1268,345
2021-08-06 00:00:00+00:00,33428,292,1164,332
2021-08-07 00:00:00+00:00,31942,289,399,115
2021-08-08 00:00:00+00:00,30536,282,648,122
2021-08-09 00:00:00+00:00,29865,302,1650,362
2021-08-10 00:00:00+00:00,31727,331,1710,367
2021-08-11 00:00:00+00:00,35752,386,1364,324
2021-08-12 00:00:00+00:00,42891,327,1418,325
2021-08-13 00:00:00+00:00,42707,323,793,251
2021-08-14 00:00:00+00:00,38878,296,350,112
2021-08-15 00:00:00+00:00,38813,284,307,103
2021-08-16 00:00:00+00:00,39653,317,1313,333
2021-08-17 00:00:00+00:00,41539,317,1509,316
2021-08-18 00:00:00+00:00,43785,340,1750,310
2021-08-19 00:00:00+00:00,40189,310,1511,333
2021-08-20 00:00:00+00:00,35000,319,1086,266
2021-08-21 00:00:00+00:00,36836,278,228,102
2021-08-22 00:00:00+00:00,34383,273,268,124
2021-08-23 00:00:00+00:00,34352,344,1397,325
2021-08-24 00:00:00+00:00,34231,343,1390,326
2021-08-25 00:00:00+00:00,34302,350,1113,309
2021-08-26 00:00:00+00:00,33943,363,1255,364
2021-08-27 00:00:00+00:00,33825,350,1238,311
2021-08-28 00:00:00+00:00,35186,304,324,99
2021-08-29 00:00:00+00:00,35505,291,357,107
2021-08-30 00:00:00+00:00,34614,345,1522,316
2021-08-31 00:00:00+00:00,36109,355,1215,324
2021-09-01 00:00:00+00:00,37320,339,1105,306
2021-09-02 00:00:00+00:00,35097,332,943,315
2021-09-03 00:00:00+00:00,34184,329,950,274
2021-09-04 00:00:00+00:00,35663,298,323,87
2021-09-05 00:00:00+00:00,35115,291,238,70
2021-09-06 00:00:00+00:00,32499,305,772,240
2021-09-07 00:00:00+00:00,31132,361,1124,297
2021-09-08 00:00:00+00:00,31036,346,1129,292
2021-09-09 00:00:00+00:00,30876,340,1329,306
2021-09-10 00:00:00+00:00,31933,352,947,275
2021-09-11 00:00:00+00:00,32029,288,317,109
2021-09-12 00:00:00+00:00,32172,305,431,87
2021-09-13 00:00:00+00:00,31806,389,1516,386
2021-09-14 00:00:00+00:00,31225,367,1557,403
2021-09-15 00:00:00+00:00,31674,392,1258,324
2021-09-16 00:00:00+00:00,30918,353,1195,337
2021-09-17 00:00:00+00:00,31434,377,1027,291
2021-09-18 00:00:00+00:00,30052,331,341,106
2021-09-19 00:00:00+00:00,30243,316,493,108
2021-09-20 00:00:00+00:00,33848,371,991,299
2021-09-21 00:00:00+00:00,34830,404,1269,349
2021-09-22 00:00:00+00:00,36173,457,1127,326
2021-09-23 00:00:00+00:00,36137,408,1244,301
2021-09-24 00:00:00+00:00,36134,389,1152,263
2021-09-25 00:00:00+00:00,35103,317,363,93
2021-09-26 00:00:00+00:00,35467,322,268,90
2021-09-27 00:00:00+00:00,36059,353,1325,357
2021-09-28 00:00:00+00:00,36052,358,948,301
2021-09-29 00:00:00+00:00,36762,388,1236,317
2021-09-30 00:00:00+00:00,37152,375,1481,327
2021-10-01 00:00:00+00:00,37339,338,1231,279
2021-10-02 00:00:00+00:00,34939,263,323,97
2021-10-03 00:00:00+00:00,34345,258,330,100
2021-10-04 00:00:00+00:00,35838,339,1056,267
2021-10-05 00:00:00+00:00,36128,342,1260,306
2021-10-06 00:00:00+00:00,36610,347,1366,331
2021-10-07 00:00:00+00:00,36656,320,1178,303
2021-10-08 00:00:00+00:00,36908,334,1241,289
2021-10-09 00:00:00+00:00,35443,311,635,166
2021-10-10 00:00:00+00:00,35769,322,637,142
2021-10-11 00:00:00+00:00,36052,376,1842,389
2021-10-12 00:00:00+00:00,36612,375,1972,447
2021-10-13 00:00:00+00:00,37697,457,1880,425
2021-10-14 00:00:00+00:00,39311,414,1765,442
2021-10-15 00:00:00+00:00,39516,394,1191,324
2021-10-16 00:00:00+00:00,38913,338,349,106
2021-10-17 00:00:00+00:00,39212,345,327,100
2021-10-18 00:00:00+00:00,39562,430,1525,409
2021-10-19 00:00:00+00:00,42851,430,2170,442
2021-10-20 00:00:00+00:00,107982,457,4044,430
2021-10-21 00:00:00+00:00,159756,408,5457,473
2021-10-22 00:00:00+00:00,130875,417,5866,399
2021-10-23 00:00:00+00:00,106797,347,1342,152
2021-10-24 00:00:00+00:00,86035,346,1026,131
2021-10-25 00:00:00+00:00,78788,447,3600,372
2021-10-26 00:00:00+00:00,65479,416,3710,432
2021-10-27 00:00:00+00:00,45509,397,3049,442
2021-10-28 00:00:00+00:00,37556,441,1693,432
2021-10-29 00:00:00+00:00,37694,388,1459,380
2021-10-30 00:00:00+00:00,37570,388,478,142
2021-10-31 00:00:00+00:00,36527,361,382,136
2021-11-01 00:00:00+00:00,36395,426,1679,385
2021-11-02 00:00:00+00:00,36928,432,1836,468
2021-11-03 00:00:00+00:00,37854,466,1528,424
2021-11-04 00:00:00+00:00,37905,450,1645,382
2021-11-05 00:00:00+00:00,37989,411,1259,358
2021-11-06 00:00:00+00:00,37130,376,305,93
2021-11-07 00:00:00+00:00,37182,362,351,105
2021-11-08 00:00:00+00:00,38295,415,1381,406
2021-11-09 00:00:00+00:00,38059,456,1779,415
2021-11-10 00:00:00+00:00,39234,456,1678,430
2021-11-11 00:00:00+00:00,39231,427,1575,415
2021-11-12 00:00:00+00:00,39018,475,1636,350
2021-11-13 00:00:00+00:00,38423,380,629,140
2021-11-14 00:00:00+00:00,38301,393,538,145
2021-11-15 00:00:00+00:00,38649,446,1568,408
2021-11-16 00:00:00+00:00,38295,509,2190,549
2021-11-17 00:00:00+00:00,35059,424,2477,776
2021-11-18 00:00:00+00:00,33319,387,1964,490
2021-11-19 00:00:00+00:00,33661,422,1421,403
2021-11-20 00:00:00+00:00,32777,356,401,115
2021-11-21 00:00:00+00:00,32933,375,531,139
2021-11-22 00:00:00+00:00,35529,452,1760,476
2021-11-23 00:00:00+00:00,39172,422,1921,433
2021-11-24 00:00:00+00:00,37807,443,1819,485
2021-11-25 00:00:00+00:00,35678,426,1470,393
2021-11-26 00:00:00+00:00,37038,426,1258,320
2021-11-27 00:00:00+00:00,32897,393,255,92
2021-11-28 00:00:00+00:00,34818,376,457,128
2021-11-29 00:00:00+00:00,35547,411,1746,425
2021-11-30 00:00:00+00:00,36701,415,1813,485
2021-12-01 00:00:00+00:00,36522,446,1654,472
2021-12-02 00:00:00+00:00,36393,435,1800,427
2021-12-03 00:00:00+00:00,36826,419,1426,377
2021-12-04 00:00:00+00:00,37479,368,482,124
2021-12-05 00:00:00+00:00,37022,350,421,113
2021-12-06 00:00:00+00:00,38740,363,1742,454
2021-12-07 00:00:00+00:00,39113,364,2072,463
2021-12-08 00:00:00+00:00,39213,401,1608,409
2021-12-09 00:00:00+00:00,39537,399,2031,485
2021-12-10 00:00:00+00:00,40245,391,1339,356
2021-12-11 00:00:00+00:00,37959,365,502,121
2021-12-12 00:00:00+00:00,37856,351,415,111
2021-12-13 00:00:00+00:00,40827,416,1478,375
2021-12-14 00:00:00+00:00,42357,473,1459,417
2021-12-15 00:00:00+00:00,41571,457,1476,388
2021-12-16 00:00:00+00:00,44518,435,1405,353
2021-12-17 00:00:00+00:00,43892,433,1445,333
2021-12-18 00:00:00+00:00,42365,372,396,106
2021-12-19 00:00:00+00:00,42025,358,437,116
2021-12-20 00:00:00+00:00,41300,380,1398,336
2021-12-21 00:00:00+00:00,39789,368,1433,372
2021-12-22 00:00:00+00:00,39607,399,1156,309
2021-12-23 00:00:00+00:00,39576,416,845,276
2021-12-24 00:00:00+00:00,39259,393,540,145
2021-12-25 00:00:00+00:00,38883,329,154,63
2021-12-26 00:00:00+00:00,39025,326,238,97
2021-12-27 00:00:00+00:00,38914,400,719,208
2021-12-28 00:00:00+00:00,35571,367,756,212
